,max,average,median
loose,452,158.20209668025626,113.0
lorry,679,254.64181712288877,215.0
loser,159,61.51252184041934,55.0
louse,191,73.31217239370996,56.0
lousy,339,121.41001747233547,70.0
lover,264,104.37099592312173,93.0
lower,243,98.02038439138032,90.0
lowly,904,413.48223645894,241.0
loyal,529,231.22131624927198,140.0
lucid,424,161.69306930693068,112.0
lucky,548,240.3733255678509,137.0
lumen,288,110.6598718695399,96.0
lumpy,567,247.63249854397205,123.0
lunar,191,79.01630751310425,57.0
lunch,428,170.11473500291206,78.0
lunge,313,119.25975538730344,79.0
lupus,738,348.56493884682584,286.0
lurch,334,148.62842166569598,62.0
lurid,286,117.28305183459523,62.0
lusty,359,136.87303436225974,91.0
lying,452,174.97320908561446,109.0
lymph,565,254.83110075713455,137.0
lyric,249,116.79499126383226,111.0
macaw,1077,494.2626674432149,246.0
macho,412,170.05066977285964,122.0
macro,304,115.71869539895167,79.0
madam,1440,733.573092603378,374.0
madly,454,172.39429237041352,84.0
mafia,980,417.7722772277228,287.0
magic,403,165.9761211415259,116.0
magma,1496,800.1094933022714,380.0
maize,251,117.45894001164822,97.0
major,370,156.88118811881188,162.0
maker,272,105.61036691904485,83.0
mambo,603,308.7099592312172,302.0
mamma,1717,1044.3727431566685,1717.0
mammy,842,480.06290040768783,396.0
manga,986,425.8940011648224,233.0
mange,281,110.58532323820617,74.0
mango,387,158.70762958648805,118.0
mangy,476,194.6808386721025,108.0
mania,810,301.40244612696563,226.0
manic,343,131.54630168899243,99.0
manly,381,136.75888177053,85.0
manor,258,91.93651718112987,80.0
maple,274,98.64239953407106,60.0
march,380,143.6907396622015,92.0
marry,744,299.3430401863716,210.0
marsh,298,113.63482818870122,79.0
mason,304,110.28246942341293,98.0
masse,454,181.07396622015142,131.0
match,445,169.0116482236459,98.0
matey,191,92.08910891089108,100.0
mauve,282,128.97437390797904,107.0
maxim,667,363.6156086196855,359.0
maybe,281,127.30168899242865,110.0
mayor,287,108.76703552708211,85.0
mealy,248,101.41584158415841,65.0
meant,206,76.94641817122888,51.0
meaty,250,97.3308095515434,80.0
mecca,454,234.47932440302853,320.0
medal,275,110.51310425160163,62.0
media,217,113.52184041933604,134.0
medic,334,148.30343622597553,109.0
melee,1062,455.67617938264414,201.0
melon,231,97.74432149097262,78.0
mercy,273,124.54455445544555,137.0
merge,811,318.6831683168317,156.0
merit,220,80.41059988351776,58.0
merry,585,277.632498543972,185.0
metal,200,85.60920209668025,63.0
meter,642,232.75888177053,102.0
metro,233,90.11124053581828,70.0
micro,343,133.8013977868375,93.0
midge,388,162.60629004076878,139.0
midst,410,145.77344205008737,95.0
might,524,212.47117064647642,118.0
milky,531,227.57542224810717,167.0
mimic,1384,772.1391962725685,313.0
mince,282,109.5055329062318,58.0
miner,221,89.37390797903319,68.0
minim,1297,690.2778101339545,314.0
minor,314,111.53581828771112,65.0
minty,416,159.91555037856727,119.0
minus,423,161.33896330809552,95.0
mirth,350,135.85148514851485,67.0
miser,189,81.78858474082702,75.0
missy,853,376.81013395457194,256.0
mocha,412,184.4478741991846,90.0
modal,339,134.19510774606871,91.0
model,293,112.51776354105999,95.0
modem,521,244.12521840419336,171.0
mogul,489,196.0017472335469,124.0
moist,341,111.78159580663949,80.0
molar,240,90.90681421083285,76.0
moldy,490,200.41059988351776,100.0
money,279,118.72859638905067,117.0
month,451,167.95049504950495,73.0
moody,1033,500.00640652300524,186.0
moose,548,214.84857309260337,178.0
moral,240,92.81013395457192,76.0
moron,660,286.22539312754805,237.0
morph,454,183.30052417006405,85.0
mossy,866,383.3733255678509,237.0
motel,214,84.2859638905067,81.0
motif,445,179.78858474082702,140.0
motor,642,265.6948165404776,255.0
motto,1498,756.1223063482819,362.0
moult,371,132.19161327897496,89.0
mound,521,199.29120559114736,90.0
mount,423,150.11706464764123,92.0
mourn,372,139.6476412347117,81.0
mouse,258,104.56785090273733,73.0
mouth,492,190.62026790914385,107.0
mover,337,141.74781595806638,95.0
movie,279,134.20093185789167,130.0
mower,327,135.36342457775189,91.0
mucky,703,337.3529411764706,170.0
mucus,834,422.0320326150262,354.0
muddy,975,517.602795573675,201.0
mulch,545,226.48048922539311,93.0
mummy,1105,683.152009318579,1105.0
munch,584,245.5719277810134,99.0
mural,267,108.96505532906232,99.0
murky,515,238.66336633663366,139.0
mushy,563,241.01397786837506,137.0
music,444,180.02970297029702,128.0
musky,624,285.50087361677345,143.0
musty,486,194.54455445544554,122.0
myrrh,1001,449.7670355270821,353.0
nadir,239,89.47058823529412,82.0
naive,227,90.91729761211415,76.0
nanny,842,423.26790914385555,396.0
nasal,588,218.74315666860804,125.0
nasty,276,102.61211415259173,96.0
natal,571,217.43680838672103,143.0
naval,824,352.733255678509,294.0
navel,270,99.37041351193943,81.0
needy,882,345.40885264997087,292.0
neigh,320,133.21199767035526,98.0
nerdy,264,113.00815375655212,122.0
nerve,736,297.5614443797321,161.0
never,736,302.30984274898077,229.0
newer,727,289.114735002912,233.0
newly,305,140.36983110075712,112.0
nicer,214,82.06115317414094,59.0
niche,281,111.59988351776354,68.0
niece,748,249.11531741409436,153.0
night,469,181.33313919627255,123.0
ninja,663,372.6831683168317,524.0
ninny,983,514.8281887012231,298.0
ninth,752,316.0,205.0
noble,262,96.85439720442632,72.0
nobly,427,167.56726849155504,123.0
noise,190,66.60163075131042,44.0
noisy,315,108.10075713453698,77.0
nomad,352,146.1333721607455,90.0
noose,461,173.0978450786255,155.0
north,307,112.59114735002912,59.0
nosey,218,89.28188701223064,89.0
notch,436,162.6715200931858,84.0
novel,282,115.46592894583576,99.0
nudge,391,156.4618520675597,110.0
nurse,204,74.53290623179966,56.0
nutty,820,354.0599883517763,221.0
nylon,679,291.75364006988934,246.0
nymph,576,268.8835177635411,161.0
oaken,191,92.24053581828771,110.0
obese,759,277.7612114152592,254.0
occur,607,266.1636575422248,245.0
ocean,180,87.30984274898078,59.0
octal,248,98.49912638322655,75.0
octet,471,206.86429819452533,172.0
odder,431,196.60221316249272,166.0
oddly,679,324.23471170646474,240.0
offal,486,249.63424577751894,272.0
offer,431,206.2207338380897,166.0
often,272,114.6924868957484,84.0
olden,248,94.47815958066396,76.0
older,238,85.67443214909726,64.0
olive,241,107.23412929528247,71.0
ombre,316,125.8573092603378,132.0
omega,222,128.51892836342458,155.0
onion,1234,584.727431566686,301.0
onset,192,77.43447874199185,59.0
opera,178,84.62609202096681,65.0
opine,211,94.78217821782178,55.0
opium,433,189.01863715783344,145.0
optic,368,150.85323238206175,140.0
orbit,309,111.94234129295282,65.0
order,521,222.55794991263832,88.0
organ,264,107.17705299941758,83.0
other,240,90.84391380314501,67.0
otter,431,172.19510774606871,127.0
ought,477,193.7781013395457,97.0
ounce,244,102.04251601630752,62.0
outdo,800,347.01863715783344,238.0
outer,202,77.03494467093768,61.0
outgo,850,377.5154338963308,257.0
ovary,307,130.05765870704718,116.0
ovate,199,88.55736750145603,75.0
overt,284,111.42050087361677,82.0
ovine,256,120.13337216074548,102.0
ovoid,982,473.08910891089107,271.0
owing,524,223.7606290040769,140.0
owner,273,113.76295864880606,88.0
oxide,307,153.88410017472336,144.0
ozone,678,307.05183459522425,234.0
paddy,712,336.4560279557368,342.0
pagan,958,396.72917880023294,225.0
paint,294,97.64997087944089,59.0
paler,208,69.13744903902155,58.0
palsy,358,126.75189283634246,86.0
panel,220,74.6703552708212,57.0
panic,328,124.5282469423413,97.0
pansy,358,128.06581246359931,80.0
papal,1232,574.2376237623762,279.0
paper,374,147.65288293535235,110.0
parer,445,170.768782760629,126.0
parka,849,354.2929528246942,208.0
parry,712,281.71054164239956,155.0
parse,203,66.07746068724519,58.0
party,280,105.68375072801398,94.0
pasta,785,294.09143855562024,216.0
paste,211,75.53581828771112,56.0
pasty,341,129.21316249271987,100.0
patch,424,158.9778683750728,82.0
patio,207,100.18345952242284,72.0
patsy,341,124.16715200931858,79.0
patty,712,299.8712871287129,194.0
pause,204,83.32731508444962,58.0
payee,712,244.10658124635992,153.0
payer,205,83.27256843331392,71.0
peace,711,239.84915550378568,126.0
peach,276,114.81479324403028,91.0
pearl,208,70.43273150844496,47.0
pecan,245,98.12638322655795,73.0
pedal,265,103.69190448456611,65.0
penal,220,83.15725101921957,57.0
pence,853,306.76354105998837,160.0
penne,1468,615.7600465928946,262.0
penny,585,285.5090273733256,191.0
perch,347,131.7268491555038,67.0
peril,210,79.20966802562609,50.0
perky,334,151.5521258008154,141.0
pesky,371,179.7245195107746,128.0
pesto,231,98.02970297029702,68.0
petal,193,81.658124635993,58.0
petty,585,280.48223645894,191.0
phase,236,96.71578334304019,81.0
phone,266,107.36575422248107,62.0
phony,475,183.55678509027373,130.0
photo,892,391.27315084449623,188.0
piano,219,99.93302271403611,78.0
picky,592,262.6750145602796,153.0
piece,833,293.5334886429819,159.0
piety,288,118.66336633663366,105.0
piggy,838,421.4181712288876,257.0
pilot,309,109.17006406523005,58.0
pinch,504,194.95923121723936,101.0
piney,258,113.98311007571345,88.0
pinky,565,239.78392545136867,141.0
pinto,366,131.91788002329645,79.0
piper,398,175.1112405358183,166.0
pique,347,173.28072218986605,148.0
pitch,498,192.56901572510193,100.0
pithy,476,191.08037274315666,136.0
pivot,442,176.5818287711124,123.0
pixel,373,156.8800232964473,118.0
pixie,783,368.9912638322656,261.0
pizza,563,344.5282469423413,460.0
place,254,86.40361094933023,50.0
plaid,338,123.38322655794991,77.0
plain,298,102.33255678509028,72.0
plait,280,94.52125800815375,69.0
plane,220,73.0104834012813,46.0
plank,407,155.1875364006989,87.0
plant,275,93.81654047757716,67.0
plate,193,68.99534071054164,46.0
plaza,1030,480.46709376820036,259.0
plead,265,108.30110658124636,64.0
pleat,199,82.64123471170646,55.0
plied,313,111.40069889341875,76.0
plier,210,78.73209085614444,64.0
pluck,593,257.40186371578335,118.0
plumb,613,272.4385556202679,103.0
plume,353,137.66278392545138,82.0
plump,840,412.27315084449623,259.0
plunk,513,216.43389633080955,167.0
plush,474,180.84507862550961,100.0
poesy,308,118.84507862550961,64.0
point,366,119.0768782760629,75.0
poise,216,80.01805474665113,64.0
poker,299,123.0442632498544,87.0
polar,225,85.70005824111823,71.0
polka,362,155.4834012813046,119.0
polyp,679,316.32382061735586,215.0
pooch,999,461.0145602795574,165.0
poppy,986,558.4985439720442,270.0
porch,437,166.20209668025626,68.0
poser,221,85.92719860221317,63.0
posit,347,119.24461269656378,80.0
posse,500,208.49039021549214,173.0
pouch,537,213.19103086779265,100.0
pound,499,186.407105416424,90.0
pouty,440,167.49039021549214,107.0
power,327,130.88118811881188,88.0
prank,342,131.90972626674431,85.0
prawn,338,131.05824111822946,89.0
preen,653,238.48223645894,165.0
press,543,218.0669772859639,152.0
price,250,87.06406523005242,67.0
prick,455,183.4507862550961,95.0
pride,280,98.48864298194525,101.0
pried,280,103.08619685497962,74.0
prime,274,99.69772859638906,96.0
primo,366,140.19510774606871,98.0
print,307,104.43389633080955,51.0
prior,683,256.7926616191031,185.0
prism,364,137.0547466511357,92.0
privy,450,185.87944088526498,127.0
prize,325,130.341875364007,129.0
probe,315,110.23820617355854,70.0
prone,235,78.88701223063482,58.0
prong,409,152.43389633080955,83.0
proof,849,379.52941176470586,177.0
prose,221,78.59464181712289,55.0
proud,428,156.79848573092605,69.0
prove,338,125.19219569015725,126.0
prowl,371,149.77227722772278,115.0
proxy,511,218.51426907396623,135.0
prude,338,118.11357018054747,78.0
prune,271,91.87711124053583,67.0
psalm,389,148.4280722189866,78.0
pubic,532,228.84507862550961,154.0
pudgy,680,309.065230052417,109.0
puffy,944,516.6511357018055,197.0
pulpy,778,375.86255096097847,284.0
pulse,288,105.97379149679674,50.0
punch,556,227.40768782760628,91.0
pupil,654,289.24694234129294,212.0
puppy,1105,665.4274898078044,1105.0
puree,736,262.7140361094933,108.0
purer,591,242.82877111240535,152.0
purge,335,125.88875946418172,115.0
purse,271,97.29120559114735,86.0
pushy,570,240.26616191030868,146.0
putty,944,432.9749563191613,197.0
pygmy,1094,619.0227140361095,1094.0
quack,575,279.9353523587653,305.0
quail,314,144.20326150262085,128.0
quake,295,158.93826441467675,127.0
qualm,491,210.5946418171229,123.0
quark,426,200.3709959231217,226.0
quart,323,132.15899825276645,94.0
quash,436,195.09318578916717,135.0
quasi,291,154.34420500873617,111.0
queen,1029,430.98194525334884,245.0
queer,869,362.55503785672687,315.0
quell,700,363.83284799068144,544.0
query,324,162.47466511357018,148.0
quest,351,162.78683750728013,93.0
queue,1694,872.317996505533,642.0
quick,689,335.56959813628424,205.0
quiet,306,130.92079207920793,75.0
quill,937,442.8811881188119,215.0
quilt,456,178.7472335468841,120.0
quirk,502,234.55503785672684,174.0
quite,306,132.0681421083285,97.0
quota,343,168.37682003494467,107.0
quote,291,132.2195690157251,97.0
quoth,576,250.1228887594642,166.0
rabbi,399,202.38089691322074,228.0
rabid,288,120.64123471170646,102.0
racer,423,160.92661619103086,115.0
radar,1440,600.8130460104834,374.0
radii,549,214.79382644146767,176.0
radio,182,89.08503203261503,90.0
rainy,199,81.78276062900407,59.0
raise,113,45.1654047757717,36.0
rajah,892,404.316249271986,237.0
rally,508,208.23529411764707,147.0
ralph,265,108.40244612696564,87.0
ramen,210,75.92253931275481,60.0
ranch,296,108.46767617938265,74.0
randy,289,113.66161910308678,86.0
range,229,76.71112405358183,63.0
rapid,267,110.6820034944671,107.0
rarer,535,235.31333721607456,170.0
raspy,289,114.30809551543389,87.0
ratio,151,69.99126383226557,75.0
ratty,508,205.32906231799652,142.0
raven,258,93.44146767617939,76.0
rayon,219,86.65171811298777,83.0
razor,671,298.4135119394292,211.0
reach,238,85.23645894001164,47.0
react,202,62.51310425160163,34.0
ready,212,85.25160163075131,76.0
realm,212,73.87245195107747,47.0
rearm,454,188.30285381479325,130.0
rebar,467,207.09027373325569,134.0
rebel,637,253.80663948747815,196.0
rebus,269,110.5608619685498,87.0
rebut,290,107.86429819452533,87.0
recap,242,90.81945253348864,61.0
recur,557,234.9126383226558,157.0
recut,256,90.69947582993593,65.0
reedy,750,293.35468841001745,170.0
refer,1566,712.3115899825277,472.0
refit,257,97.82352941176471,72.0
regal,210,82.01223063482819,73.0
rehab,241,102.95340710541642,86.0
reign,254,97.61153174140944,77.0
relax,248,103.72102504368084,87.0
relay,168,73.19452533488644,69.0
relic,196,78.10425160163075,60.0
remit,220,83.75596971461852,58.0
renal,169,61.2970297029703,53.0
renew,727,287.8159580663949,211.0
repay,205,91.4403028538148,95.0
repel,593,233.27023878858475,161.0
reply,246,105.43680838672103,99.0
rerun,512,204.83284799068142,143.0
reset,536,179.84507862550961,83.0
resin,163,67.06173558532323,59.0
retch,301,108.47699475829936,57.0
retro,422,174.3296447291788,127.0
retry,457,206.64298194525335,163.0
reuse,593,199.62783925451367,113.0
revel,665,286.3779848573093,188.0
revue,806,326.7029702970297,197.0
rhino,295,109.41584158415841,68.0
rhyme,279,120.92778101339546,140.0
rider,532,214.9470005824112,169.0
ridge,298,112.5270821199767,112.0
rifle,237,90.0984274898078,91.0
right,359,140.98136284216656,88.0
rigid,803,367.8456610366919,388.0
rigor,719,284.24286546301687,239.0
rinse,163,60.64239953407105,44.0
ripen,227,89.00232964472917,72.0
riper,517,211.79790331974374,166.0
risen,163,65.64181712288875,68.0
riser,410,157.45253348864298,151.0
risky,327,147.64997087944087,143.0
rival,246,114.23704135119394,109.0
river,605,261.47990681421084,192.0
rivet,280,101.26441467676179,62.0
roach,288,102.42457775189284,63.0
roast,199,63.38555620267909,44.0
robin,325,123.04659289458358,74.0
robot,679,284.96156086196856,192.0
rocky,427,177.21199767035526,116.0
rodeo,555,213.84391380314503,100.0
roger,528,219.38730343622598,137.0
rogue,258,96.9126383226558,79.0
roomy,749,341.7239370995923,185.0
roost,536,200.306348281887,86.0
rotor,1243,532.924868957484,390.0
rouge,258,94.38031450203844,78.0
rough,411,159.10832847990682,79.0
round,369,131.12580081537567,65.0
rouse,187,67.56843331391963,57.0
route,202,67.8351776354106,61.0
rover,583,261.3954571927781,174.0
rowdy,496,207.4391380314502,123.0
rower,556,247.85439720442633,137.0
royal,199,85.03727431566686,81.0
ruddy,670,330.9807804309843,380.0
ruder,592,244.0,165.0
rugby,508,230.30227140361094,141.0
ruler,497,182.834012813046,123.0
rumba,366,171.34478741991848,138.0
rumor,843,346.10716365754223,267.0
rupee,736,268.8008153756552,112.0
rural,555,209.4612696563774,128.0
rusty,301,121.97146185206756,106.0
sadly,318,110.120559114735,82.0
safer,218,73.38788584740827,63.0
saint,251,75.15958066394874,38.0
salad,652,236.165987186954,142.0
sally,579,222.8578916715201,141.0
salon,230,74.00174723354688,58.0
salsa,1232,499.8561444379732,220.0
salty,268,90.82644146767618,81.0
salve,251,85.83168316831683,57.0
salvo,303,114.6924868957484,91.0
sandy,324,114.81013395457192,83.0
saner,166,51.415841584158414,38.0
sappy,579,256.4507862550961,164.0
sassy,842,402.47582993593477,396.0
satin,251,78.6144437973209,46.0
satyr,217,75.35527082119977,73.0
sauce,186,70.44437973209085,40.0
saucy,313,113.98776936517181,82.0
sauna,726,244.3296447291788,132.0
saute,163,62.2521840419336,44.0
savor,275,97.44379732090856,87.0
savoy,334,133.41234711706466,98.0
savvy,579,270.45136866627837,164.0
scald,287,101.3401281304601,86.0
scale,190,64.26965637740244,38.0
scalp,347,119.91788002329645,84.0
scaly,300,104.5282469423413,92.0
scamp,440,171.70937682003495,103.0
scant,283,90.95690157251019,63.0
scare,186,61.25393127548049,40.0
scarf,307,118.67268491555038,82.0
scary,237,95.43797320908561,88.0
scene,702,238.7606290040769,148.0
scent,234,91.0873616773442,59.0
scion,328,110.12288875946417,80.0
scoff,683,317.36517181129875,188.0
scold,318,118.11822947000583,95.0
scone,204,80.16831683168317,55.0
scoop,849,365.266744321491,193.0
scope,245,103.88293535235877,85.0
score,196,71.02795573675014,71.0
scorn,278,101.00349446709377,76.0
scour,311,108.7914967967385,83.0
scout,385,130.36517181129878,84.0
scowl,394,153.03610949330226,120.0
scram,295,111.18986604542808,84.0
scrap,302,111.67792661619103,81.0
scree,587,198.8479906814211,110.0
screw,295,109.58707047175305,91.0
scrub,391,158.42457775189283,113.0
scrum,390,158.1228887594642,108.0
scuba,362,156.0203843913803,88.0
sedan,203,74.62842166569598,47.0
seedy,802,292.44437973209085,173.0
segue,839,296.2970297029703,173.0
seize,848,308.96097845078623,190.0
semen,772,263.40885264997087,154.0
sense,1297,484.944670937682,241.0
sepia,172,81.88410017472336,78.0
serif,215,86.15084449621433,69.0
serum,258,99.06523005241701,79.0
serve,694,263.2504368083867,151.0
setup,303,116.46418171228888,66.0
seven,836,310.3325567850903,204.0
sever,694,263.2847990681421,209.0
sewer,694,253.69015725101923,131.0
shack,476,192.99534071054165,85.0
shade,207,81.527664531159,58.0
shady,352,136.51776354106,92.0
shaft,410,152.7251019219569,80.0
shake,252,107.90739662201514,65.0
shaky,435,177.78509027373326,111.0
shale,182,67.94234129295282,46.0
shall,616,233.41351193942924,118.0
shalt,304,97.00465928945836,48.0
shame,229,94.33605125218403,58.0
shank,422,158.94292370413513,81.0
shape,236,95.86313337216075,55.0
shard,256,100.93593476994758,72.0
share,181,65.10716365754223,46.0
shark,328,135.61968549796157,86.0
sharp,304,119.08503203261503,79.0
shave,268,109.12347117064648,86.0
shawl,385,143.41118229470007,85.0
shear,181,69.73966220151426,67.0
sheen,762,262.4175888177053,144.0
sheep,918,349.08910891089107,163.0
sheer,624,218.8474082702388,108.0
sheet,798,273.1770529994176,149.0
sheik,325,142.47466511357018,83.0
shelf,311,133.67676179382644,93.0
shell,532,227.72335468841,118.0
shied,259,98.6272568433314,56.0
shift,503,188.1112405358183,72.0
shine,234,86.23238206173559,50.0
shiny,401,141.21316249271987,107.0
shire,191,72.67967384973791,47.0
shirk,369,150.73325567850904,76.0
shirt,307,108.79499126383226,51.0
shoal,258,93.40302853814794,58.0
shock,557,228.59580663948748,123.0
shone,220,86.60745486313337,50.0
shook,969,444.3820617355853,192.0
